WBAN_ID,STATION_NAME,STATE_PROVINCE,COUNTRY
00459,MISS CANYON 474,LA,US
00460,LOUISIANA REGIONAL AIRPORT,LA,US
00461,MEXIA LIMESTONE COUNTY AIRPORT,TX,US
00462,OCEAN COUNTY AIRPORT,NJ,US
00463,MAURY COUNTY AIRPORT,TN,US
00464,J DOUGLAS BAKE MEMORIAL AIRPORT,WI,US
00465,CATTARAUGUS COUNTY OLEAN AIRPORT,NY,US
00466,ST LANDRY PARISH AIRPORT AHART FIELD,LA,US
00467,WILLIAM R POGUE MUNICIPAL AIRPORT,OK,US
00468,CARL R KELLER FIELD AIRPORT,OH,US
00469,PIERCE COUNTY AIRPORT THUN FIELD,WA,US
00470,PLATTSMOUTH MUNICIPAL AIRPORT,NE,US
00471,PRESIDIO LELY INTERNATIONAL AIRPORT,TX,US
00472,KYRGYZSTAN US MIL BISHKEH MANAS,,AF
00473,QATAR US MIL AL UDEID,,QA
00474,CLEVELAND MUNICIPAL AIRPORT,MS,US
00475,SHIVELY FIELD AIRPORT,WY,US
00476,BIG SANDY REGIONAL AIRPORT,KY,US
00477,ROGER M DREYER MEMORIAL AIRPORT,TX,US
00478,ZAMPERINI FIELD AIRPORT,CA,US
00479,TEHACHAPI MUNICIPAL AIRPORT,CA,US
00480,EAGLE RANGE WSO,UT,US
00481,GRANITE PEAK FILLMORE ARPT,UT,US
00482,VENICE MUNICIPAL AIRPORT,FL,US
00483,NEW ORLEANS SUPERDOME HELIPORT,LA,US
00484,HULETT MUNICIPAL AIRPORT,WY,US
00485,FLAGLER COUNTY AIRPORT,FL,US
00486,ZEPHYRHILLS MUNICIPAL AIRPORT,FL,US
00487,FUA AMOTU TONGA,,FJ
00488,WELLINGTON INTL,,NZ
00489,BRYANT ARMY AIRFIELD HELIPORT,AK,US
00490,SHUNGNAK AIRPORT,AK,US
00491,JASPER MARION COUNTY BROWN FIELD ARPT JASPER NDB,TN,US
00492,MARSHALL ISLANDS INTERNATIONAL AIRPORT,MH,RM
00493,KOSRAE INTERNATIONAL AIRPORT,FM,FM
00494,FERNANDO LUIS RIBAS DOMINICCI AIRPORT,,RQ
03001,NORTHRUP STRIP WSMR,NM,US
03002,STALLION RANGE WSMR,NM,US
03003,JALLEN RANGE WSMR,NM,US
03004,WHITE SANDS MISSEL RANGE C SITE,NM,US
03005,DILLON IE,CO,US
03006,TAYLOR PARK,CO,US
03007,OURAY,CO,US
03008,VALLECITO DAM,CO,US
03009,GLENWOOD SPRINGS #2,CO,US
03010,DURANGO,CO,US
03011,TELLURIDE ,CO,US
03012,TAOS,NM,US
03013,LAMAR,CO,US
03014,TORREON NAVAJO MISSON,NM,US
03015,STAR LAKE,,
03016,RIFLE,CO,US
03017,DENVER INTL APT,CO,US
03018,DENVER FRONT RANGE APT,CO,US
03019,ALBUQUERQUE,NM,US
03020,EL PASO WFO,NM,US
03021,PUEBLO,CO,US
03022,CANNON AFB,NM,US
03023,HOLLOMAN AFB/ALAMOGORDO (WHITE SAND),NM,
03024,BORGER,TX,US
03025,GRAND JUNCTION/MESA CO,CO,US
03026,BURLINGTON,CO,US
03027,CLINES CORNER,CO,US
03028,SPRINGFIELD,CO,US
03029,WINDOW ROCK,AZ,US
03030,GUYMON,OK,US
03031,ODESSA,TX,US
03032,DRYDEN,TX,US
03033,MORIARTY,NM,US
03034,ALBUQUERQUE,NM,US
03035,ARTESIA,NM,US
03036,BLANDING,UT,US
03037,COLBY,KS,US
03038,RED CLIFF PASS,CO,US
03039,WOLFCREEK PASS,CO,US
03040,MONUMENT PASS,CO,US
03041,MONARCH PASS,CO,US
03042,LA VETA PASS,CO,US
03043,ATWOOD-RAWLINS COUNTY,KS,US
03044,BIG SPRING,TX,US
03045,PERRYTON,TX,US
03046,SANTA FE,NM,US
03047,MONAHANS 6 ENE,TX,US
03048,SOCORRO 20 N,NM,US
03049,ALPINE,TX,US
03050,SNYDER,TX,US
03051,LEOTI,KS,US
03052,PAMPA,TX,US
03053,SANTA TERESA,NM,US
03054,MULESHOE 19 S,TX,US
03055,GOODWELL 2 E,OK,US
03056,SEMINOLE,TX,US
03057,CLIFTON ,AZ,US
03058,PECOS,TX,US
03059,SONORA,TX,US
03060,MONTROSE 11 ENE,CO,US
03061,CORTEZ 8 SE,CO,US
03062,LOS ALAMOS 13 W,NM,US
03063,LA JUNTA 17 WSW,CO,US
03064,BUENA VISTA,CO,US
03065,DENVER,CO,US
03066,BIG SPRING,TX,US
03067,OAKLEY 19SSW,KS,US
03068,BULLSEYE AUXILIARY AIRFIELD USAFA,CO,US
03069,SAGUACHE MUNI AP,CO,US
03070,DUMAS,TX,US
03071,MIDLAND ,TX ,US
03072,BRONTE 11 NNE,TX,US
03073,CROCKETT,TX,US
03074,LAS CRUCES 20N,NM,US
03075,DULCE 1 NW,NM,US
03076,GRAND JUNCTION 9W,CO,US
03077,HOLBROOK 17 ESE,AZ,US
03078,EADS 16 ENE,CO,US
03079,SAGUACHE 2 WNW,CO,US
03080,RESERVE 1W,NM,US
03081,TROPIC 9 SE,UT,US
03082,CARRIZOZO 1W,NM,US
03083,STRATTON 24 N,CO,US
03084,CENTER A4 SSW,CO,US
03085,BOWIE 23 SSE,NM,US
03086,SPRINGFIELD 6WSW,CO,US
03087,SANTA FE 20,NM,US
03088,WOODLAND PARK 14 WSW,CO,US
03089,ROCKY FORD 1ESE,CO,US
03090,TAOS 27NW,CO,US
03091,KIM 9 WSW,CO,US
03092,RATON 26 ESE,NM,US
03093,GENOA 35N,HCNM,US
03094,CLAYTON 3 ENE,HCNM,US
03095,MILLS 6WSW,HCNM,US
03096,RIFLE 23,HCNM,US
03097,MOUNTAINAIR 2WSW,HCNM,US
03098,EAGLE 13 SSE,HCNM,US
03099,CRAIG 30N,HCNM,US
03101,SHOW LOW AP,AZ,US
03102,ONTARIO,CA,US
03103,FLAGSTAFF,AZ,US
03104,THERMAL,CA,US
03105,INDIO,CA,US
03106,RIVERSIDE,CA,US
03107,NEWPORT BEACH,CA,US
03108,TEJON RANCHO,CA,US
03109,AEC COMMAND POST (NEAR LAS VEGAS),NV,US
03110,BEATTY,NV,US
03111,,,
03112,SAN CLEMENTE ISLAND,CA,US
03113,CALIENTE,NV,US
03114,CRYSTAL SPRINGS,NV,US
03115,CURRANT,NV,US
03116,GROOM MINE,NV,US
03117,PONY SPRINGS ,NV,US
03118,WARM SPRINGS,NV,US
03119,LAGUNA ,AZ,US
03120,INYOKERN,CA,US
03121,ST GEORGE,UT,US
03122,FORT MACARTHUR,CA,US
03123,CAMP PENDLETON,CA,US
03124,FORT HUACHUCA,AZ,US
03125,YUMA,AZ,US
03126,FURNACE CREEK,CA,US
03127,NEEDLES ,CA,US
03128,ROUND MOUNTAIN,NV,US
03129,MOJAVE,CA,US
03130,SANTA MONICA,CA,US
03131,SAN DIEGO,CA,US
03132,TONOPAH,NV,US
03133,*YUCCA FLATS,NV,US
03134,BAKER,CA,US
03135,INDAIN SPRINGS,NV,US
03136,TEMPIUTE,NV,US
03137,OVERTON,NV,US
03138,SHOSHONE,NV,US
03139,ALAMO,NV,US
03140,ST GEORGE,AZ,US
03141,BEATTY,NV,US
03142,SHOSHONE,CA,US
03143,JACKASS FLATS,NV,US
03144,IMPERIAL,CA,US
03145,YUMA,AZ,US
03146,EL CENTRO,CA,US
03147,CUDDEBACK,CA,US
03148,GILA BEND,CA,US
03149,PHOENIX,AZ,US
03150,TOPOCK,AZ,US
03151,YUCCA,AZ,US
03152,MOJAVE,NV,US
03153,SANTA ANA,CA,US
03154,CAMP PENDLETON,CA,US
03155,UPPER VAN NORMAN,CA,US
03156,ZURF SITE,NM,US
03157,LONG BEACH,CA,US
03158,SAN NICHOLAS ISLAND,CA,US
03159,LANCASTER,CA,US
03160,DESERT ROCK,NV,US
03161,DESERT ROCK,NV,US
03162,PAGE,AZ,US
03163,CALIENTE,NV,US
